
[0.14s]15:10:36 url: http://local.ag.com/v1/sms/send, type: POST
[0.19s]15:13:34 url: http://local.ag.com/v1/sms/send, type: POST
[0.17s]15:16:01 url: http://local.ag.com/v1/sms/send, type: POST
[0.2s]15:16:58 url: http://holden.ag.listcloud.cn//v1/sms/send, type: POST
[2.36s]15:17:50 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.51s]15:19:40 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[1.96s]15:19:52 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[1.96s]15:20:02 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.69s]15:20:36 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.56s]15:21:31 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.89s]15:21:55 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.46s]15:22:03 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.44s]15:22:19 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
[0.48s]15:25:28 url: http://holden.ag.listcloud.cn/v1/sms/send, type: POST
